x,exp_regime_IV
12.1053,96.51
13.0596,68.63
13.1307,114.38
14.1638,97.94
14.2434,129.4
14.8452,54.37
15.1867,107.43
15.4517,131.37
15.5492,70.72
16.4739,119.67
16.9623,100.92
17.974,141.83
18.088,70.67
18.092,52.658
18.508,108.99
19.614,127.2
19.73,114.14
20.08,93.32
21.279,119.52
21.526,135.26
21.53,107.24
22.043,71.69
23.084,119.47
23.088,96.19
24.9,108.83
25.041,131.04
26.715,52.552
27.485,123.11
27.973,102.23
28.793,130.94
31.059,112.12
32.55,68.3
32.747,51.691
33.302,122.99
34.886,130.81
40.132,70.37
41.548,94.42
44.062,44.21
45.596,106.82
49.173,122.74
49.207,50.01
51.527,91.44
53.653,134.63
54.031,27.33
56.546,108.37
60.278,117.05
60.658,63.996
60.692,30.915
65.007,132.43
75.685,44.086
77.875,91.25
84.031,50.649
85.96,106.47
88.076,26.843
90.576,113.24
97.789,30.365
98.253,126.15
104.795,67.89
127.017,42.628
135.329,92.41
138.587,46.756
145.951,99.8
149.582,18.178
160.169,116.46
171.74,125.79
171.83,62.675
192.05,24.363
216.98,28.424
221.89,87.99
240.7,98.02
253.96,18.129
259.58,109.19
269.01,41.168
278.33,121.65
302.17,45.853
322.29,24.298
359.92,27.915
368.18,59.595
390.6,17.002
456.73,39.804
478.22,83.66
489.96,23.145
501.24,45.03
524.82,93.19
556.79,26.588
559.45,105.45
617.56,113.87
621.47,59.434
651.56,22.407
690.33,36.761
